PWM (us),RPM,Wind (MPH),Temp (C)
1450,0.0,12.19,-9.89
1460,0.0,12.88,-9.73
1470,1118.51,6.02,-9.69
1480,0.0,5.48,-9.64
1490,0.0,4.4,-9.69
1500,0.0,4.4,-9.64
1500,0.0,4.51,-9.64
1500,0.0,3.97,-9.56
1510,0.0,4.62,-9.6
1520,439.41,7.69,-9.64
1530,2077.23,21.14,-9.64
1540,39.95,31.66,-9.73
1550,0.0,41.5,-9.81
1550,0.0,52.05,-9.89
1540,0.0,33.48,-9.81
1530,2556.59,27.82,-9.77
1520,679.09,16.51,-9.77
1510,199.73,10.05,-9.69
1500,0.0,6.3,-9.81
1500,0.0,4.62,-9.64
1490,0.0,4.29,-9.73
1480,0.0,6.16,-9.73
1470,679.09,5.48,-9.73
1460,359.52,8.02,-9.77
1450,79.89,12.65,-9.81
1450,0.0,16.23,-9.85
1460,0.0,12.41,-9.77
1470,998.67,9.09,-9.77
1480,39.95,4.98,-9.73
1490,0.0,5.1,-9.77
1500,0.0,3.97,-9.77
1500,0.0,3.76,-9.69
1500,0.0,4.18,-9.73
1510,0.0,4.74,-9.64
1520,479.36,7.69,-9.64
1530,2916.11,21.14,-9.6
1540,0.0,33.48,-9.69
1550,0.0,47.75,-9.77
1550,0.0,47.15,-9.85
1540,0.0,36.35,-9.85
1530,2077.23,26.62,-9.81
1520,679.09,16.51,-9.69
1510,479.36,10.05,-9.77
